City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mareeba,AU,81.45,light rain,-17.0,145.4333,Trinity Plains Tourist Park
4,Butaritari,KI,82.15,clear sky,3.0707,172.7902,Isles Sunset Lodge
13,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
14,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Quang Ngai,VN,81.12,broken clouds,15.1167,108.8,Central Hotel
20,Tautira,PF,77.16,few clouds,-17.7333,-149.15,Pension Oaoa
23,Balkanabat,TM,79.54,clear sky,39.5108,54.3671,Nebitchi Hotel
25,Hambantota,LK,89.94,overcast clouds,6.1241,81.1185,Bungalow 63
46,Kavieng,PG,84.72,broken clouds,-2.5744,150.7967,Nusa Island Retreat
47,Loa Janan,ID,86.02,overcast clouds,-0.583,117.095,Kost Garuda
49,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Saint-Louis,SN,78.44,clear sky,16.3333,-15.0,
61,Mana,GF,76.95,overcast clouds,5.6592,-53.7767,LE SAMANA
66,Umm Kaddadah,SD,84.78,clear sky,13.6017,26.6876,
69,Atuona,PF,76.82,clear sky,-9.8,-139.0333,Villa Enata
74,Dingle,PH,83.64,light rain,10.9995,122.6711,SEGAYA PROPERTY
83,Bengkulu,ID,81.5,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
87,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
89,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Nabire,ID,83.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
93,Irbil,IQ,82.22,overcast clouds,36.1926,44.0106,Erbil International Hotel
100,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
107,Ugoofaaru,MV,81.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
108,Sumbe,AO,75.47,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
111,Lavumisa,SZ,80.56,few clouds,-27.31,31.892,ROADSIDE B&B
112,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
114,Cabo San Lucas,MX,75.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
121,Lahat,ID,80.85,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
127,Veraval,IN,86.72,clear sky,20.9,70.3667,Lords Inn Somnath
137,Luwuk,ID,86.95,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
138,Am Timan,TD,84.09,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
145,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
155,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
157,Pala,TD,77.97,overcast clouds,9.3642,14.9046,Hotel Pala Palace
164,Kimbe,PG,83.1,light rain,-5.5502,150.1429,Kimbe Bay Hotel
167,Mikumi,TZ,77.31,overcast clouds,-7.4041,36.9831,Morio Motel and Campsite
168,Atraulia,IN,84.54,clear sky,26.3333,82.95,ShivKunj
170,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Camocim,BR,77.7,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
172,Bubaque,GW,82.02,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
176,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
177,Naze,JP,76.12,few clouds,28.3667,129.4833,Shishime Hotel
181,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
183,Salinopolis,BR,80.73,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
184,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
186,Miandrivazo,MG,87.17,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
187,Yulara,AU,83.39,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
188,Yining,CN,80.53,overcast clouds,29.0361,114.5636,Xiushui Hotel
192,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
193,Salalah,OM,84.9,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
194,Santo Tomas,PH,80.85,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
199,Bousso,TD,81.59,overcast clouds,10.4795,16.7117,
204,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
205,Kavaratti,IN,80.64,light rain,10.5669,72.642,Green leaf
213,Bandarbeyla,SO,85.55,few clouds,9.4942,50.8122,JABIR HOTEL
223,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
225,Luganville,VU,78.82,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
226,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
228,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Alize Plage
237,Perth,AU,75.38,broken clouds,-31.9333,115.8333,Quest on Rheola
240,Faanui,PF,78.31,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
247,Mvuma,ZW,76.77,clear sky,-19.2792,30.5283,Nyangombe Backpackers
249,Lorengau,PG,84.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
