City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mareeba,AU,-17.0,145.4333,81.45,83,77,7.61,light rain
1,Antofagasta,CL,-23.65,-70.4,58.28,75,8,4.63,clear sky
2,Port Keats,AU,-14.25,129.55,91.15,53,89,8.03,overcast clouds
3,Broome,US,42.2506,-75.833,41.85,84,40,8.05,scattered clouds
4,Butaritari,KI,3.0707,172.7902,82.15,72,9,11.16,clear sky
5,Ushuaia,AR,-54.8,-68.3,35.26,75,0,11.5,clear sky
6,Lavrentiya,RU,65.5833,-171.0,35.8,96,100,20.09,light rain
7,Val-David,CA,46.0334,-74.2159,40.01,95,100,8.77,overcast clouds
8,Ribeira Grande,PT,38.5167,-28.7,62.78,77,20,4.0,few clouds
9,Sokolovo-Kundryuchenskiy,RU,47.8354,39.9471,51.15,81,100,2.51,light rain
10,Kyzyl-Suu,KG,42.3414,78.0056,43.32,72,90,3.85,overcast clouds
11,Luohe,CN,33.5717,114.0353,74.53,24,45,6.51,scattered clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,70.81,90,1,26.55,clear sky
13,Bambous Virieux,MU,-20.3428,57.7575,78.22,61,40,10.36,scattered clouds
14,Hilo,US,19.7297,-155.09,78.53,87,100,3.44,moderate rain
15,Vaini,TO,-21.2,-175.2,73.56,94,75,2.3,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,70.77,73,100,19.84,overcast clouds
17,Zhezkazgan,KZ,47.8043,67.7144,55.38,38,40,26.84,scattered clouds
18,Narsaq,GL,60.9167,-46.05,17.6,76,14,7.07,few clouds
19,Quang Ngai,VN,15.1167,108.8,81.12,72,62,6.69,broken clouds
20,Tautira,PF,-17.7333,-149.15,77.16,80,18,11.92,few clouds
21,San Patricio,US,28.017,-97.5169,60.66,49,0,7.56,clear sky
22,Pastos Bons,BR,-6.6017,-44.0767,72.36,62,14,3.49,few clouds
23,Balkanabat,TM,39.5108,54.3671,79.54,22,8,8.86,clear sky
24,Talnakh,RU,69.4865,88.3972,34.21,99,100,16.82,light snow
25,Hambantota,LK,6.1241,81.1185,89.94,66,100,13.8,overcast clouds
26,Kangaatsiaq,GL,68.3065,-53.4641,29.44,56,100,2.82,overcast clouds
27,Wajima,JP,37.4,136.9,66.88,45,40,6.91,scattered clouds
28,Upernavik,GL,72.7868,-56.1549,15.17,89,100,8.75,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,71.76,62,0,14.85,clear sky
30,Shyryayeve,UA,47.3805,30.1964,44.56,55,9,22.37,clear sky
31,Busselton,AU,-33.65,115.3333,64.17,61,64,15.21,broken clouds
32,Torbay,CA,47.6666,-52.7314,56.57,94,100,12.66,overcast clouds
33,Khatanga,RU,71.9667,102.5,26.49,97,100,2.24,light snow
34,Chuy,UY,-33.6971,-53.4616,59.68,97,92,7.78,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,66.87,81,75,9.46,broken clouds
36,Yerbogachen,RU,61.2767,108.0108,33.57,73,98,7.78,overcast clouds
37,Yumen,CN,40.2833,97.2,59.07,24,0,15.48,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,25.05,88,100,4.83,overcast clouds
39,Kruisfontein,ZA,-34.0033,24.7314,67.89,57,36,23.42,scattered clouds
40,Albany,US,42.6001,-73.9662,41.72,82,90,6.08,overcast clouds
41,Christchurch,NZ,-43.5333,172.6333,66.4,32,75,11.5,broken clouds
42,Lebu,CL,-37.6167,-73.65,50.0,86,73,2.8,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,35.71,87,40,14.97,light intensity shower rain
44,Camargo,MX,27.6667,-105.1667,58.28,73,0,2.93,clear sky
45,Hobart,AU,-42.8794,147.3294,61.23,71,75,11.5,broken clouds
46,Kavieng,PG,-2.5744,150.7967,84.72,69,71,8.25,broken clouds
47,Loa Janan,ID,-0.583,117.095,86.02,72,100,2.51,overcast clouds
48,Bayan,CN,46.0833,127.4,59.07,37,34,6.64,scattered clouds
49,Souillac,MU,-20.5167,57.5167,77.38,61,40,10.36,scattered clouds
50,Thompson,CA,55.7435,-97.8558,32.16,100,100,3.44,fog
51,Vestmannaeyjar,IS,63.4427,-20.2734,44.71,75,100,14.74,overcast clouds
52,Tuatapere,NZ,-46.1333,167.6833,46.35,66,100,14.12,overcast clouds
53,Broken Hill,AU,-31.95,141.4333,71.17,55,100,9.82,overcast clouds
54,Chokurdakh,RU,70.6333,147.9167,3.78,97,100,7.67,overcast clouds
55,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,48,75,13.42,broken clouds
56,Cape Town,ZA,-33.9258,18.4232,69.89,63,20,5.01,few clouds
57,Nanortalik,GL,60.1432,-45.2371,31.95,67,6,20.49,clear sky
58,Saint-Louis,SN,16.3333,-15.0,78.44,69,4,8.93,clear sky
59,Mackenzie,CA,55.2999,-123.1698,53.82,37,100,11.5,overcast clouds
60,Nanning,CN,22.8167,108.3167,68.45,78,100,6.93,overcast clouds
61,Mana,GF,5.6592,-53.7767,76.95,90,99,7.34,overcast clouds
62,Husavik,IS,66.0449,-17.3389,29.64,73,2,8.77,clear sky
63,Aksarka,RU,66.5606,67.7975,35.4,81,98,13.96,overcast clouds
64,Ahipara,NZ,-35.1667,173.1667,57.25,81,10,11.07,clear sky
65,Dikson,RU,73.5069,80.5464,32.38,98,100,22.57,light snow
66,Umm Kaddadah,SD,13.6017,26.6876,84.78,22,2,19.35,clear sky
67,Orgovany,HU,46.7509,19.4726,47.1,61,5,8.88,clear sky
68,Yellowknife,CA,62.456,-114.3525,45.12,87,100,13.8,overcast clouds
69,Atuona,PF,-9.8,-139.0333,76.82,74,5,13.67,clear sky
70,Kapaa,US,22.0752,-159.319,73.38,81,100,14.97,overcast clouds
71,Verkhoyansk,RU,67.5447,133.385,7.45,93,97,0.51,overcast clouds
72,Sobolevo,RU,54.4299,31.8996,41.61,83,84,13.91,broken clouds
73,Chapais,CA,49.7834,-74.8492,33.58,97,100,5.06,overcast clouds
74,Dingle,PH,10.9995,122.6711,83.64,78,100,5.44,light rain
75,Vargashi,RU,55.3556,65.8467,41.74,87,100,9.93,light rain
76,Olafsvik,IS,64.8945,-23.7142,44.04,82,82,18.59,broken clouds
77,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,71,75,25.32,light rain
78,Provideniya,RU,64.3833,-173.3,34.09,99,100,9.01,snow
79,Bay Roberts,CA,47.5999,-53.2648,57.33,94,100,3.0,overcast clouds
80,Katsuura,JP,35.1333,140.3,63.72,56,0,8.03,clear sky
81,Neuquen,AR,-38.9516,-68.0591,60.69,33,0,11.5,clear sky
82,Huainan,CN,32.6264,116.9969,74.7,30,100,13.06,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,81.5,78,71,16.49,light rain
84,Vardo,NO,70.3705,31.1107,33.78,80,40,28.77,light snow
85,Snasa,NO,64.2457,12.3778,42.21,95,100,4.54,overcast clouds
86,Kaitangata,NZ,-46.2817,169.8464,47.25,62,99,17.4,overcast clouds
87,Cayenne,GF,4.9333,-52.3333,75.24,94,75,0.0,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,59.95,92,100,8.99,moderate rain
89,Hithadhoo,MV,-0.6,73.0833,80.89,75,100,11.23,overcast clouds
90,Nabire,ID,-3.3667,135.4833,83.88,73,94,3.78,overcast clouds
91,Khandyga,RU,62.6667,135.6,18.21,96,100,3.04,light snow
92,East London,ZA,-33.0153,27.9116,70.74,78,0,8.05,clear sky
93,Irbil,IQ,36.1926,44.0106,82.22,17,100,3.44,overcast clouds
94,Mehamn,NO,71.0357,27.8492,35.55,80,75,33.38,light snow
95,Ust-Nera,RU,64.5667,143.2,-3.53,96,6,4.43,clear sky
96,Hermanus,ZA,-34.4187,19.2345,68.81,75,20,12.82,few clouds
97,Flin Flon,CA,54.7682,-101.865,46.02,80,100,7.74,overcast clouds
98,Klaksvik,FO,62.2266,-6.589,43.72,71,85,17.29,overcast clouds
99,Hasaki,JP,35.7333,140.8333,66.6,45,0,6.51,clear sky
100,Buraydah,SA,26.326,43.975,75.65,9,0,10.47,clear sky
101,Florida,US,28.7505,-82.5001,50.76,93,0,6.62,clear sky
102,Port-Cartier,CA,50.0334,-66.8654,48.31,98,100,2.06,overcast clouds
103,Starobaltachevo,RU,56.0013,55.9213,41.95,67,8,6.69,clear sky
104,Saint George,US,37.1041,-113.5841,66.79,24,0,4.61,clear sky
105,Mataura,NZ,-46.1927,168.8643,45.95,63,85,10.56,overcast clouds
106,Ankpa,NG,7.3706,7.6253,74.53,89,50,3.22,scattered clouds
107,Ugoofaaru,MV,5.6667,73.0,81.77,77,100,17.72,overcast clouds
108,Sumbe,AO,-11.2061,13.8437,75.47,85,97,5.55,light rain
109,Georgetown,MY,5.4112,100.3354,91.33,61,20,7.0,few clouds
110,Houston,US,29.7633,-95.3633,56.08,58,0,5.75,clear sky
